gl_txn_id,txn_date,account_code,account_name,department,cost_center,vendor_customer,amount,dr_cr,entity,memo
GL0000505,2023-06-22,6100,Sales and Marketing,Marketing,CC200,Schneider-Ross,14842.95,dr,SaaS Canada,Contractor costs
GL0000506,2023-06-18,9999,Misc Expense,Finance,,Berry Group,-12838.35,cr,saas us,
GL0000507,2023-06-05,9999,Misc Expense,,CC100,Walters and Sons,8540.02,DR,saas us,Refund
GL0000508,2023-06-27,6300,G&A,Sales,,Taylor-Frazier,14875.38,DR,SaaS HoldCo,Contractor costs
GL0000509,2023-06-11,1010,Cash,Finance,,Harvey Group,-20993.19,CR,SaaS US,Payroll
GL0000510,2023-06-06,1010,Cash,Engineering,CC300,"Hill, Lane and Clements",3667.55,dr,SaaS US,Reclass
GL0000511,2023-06-15,6200,R&D,,,Mendez-Martinez,-6827.16,,SaaS US,AWS hosting
GL0000512,2023-06-18,5000,cost of service,Engineering,CC400,Martin-Howard,13656.96,DR,SaaS HoldCo,Payroll
GL0000513,2023-06-24,5000,cost of service,Finance,CC100,Sanford LLC,24489.95,DR,SaaS US,AWS hosting
GL0000514,2023-06-06,6200,R&D,Sales,,Hoffman Ltd,5289.55,DR,saas us,Software tools
GL0000515,2023-06-07,6100,sales & marketing,,CC400,Rogers-Rivera,2022.18,,SaaS Canada,Payroll
GL0000516,2023-06-09,5000,Cost of Service,Finance,CC100,Whitehead Group,17799.03,dr,saas us,Payroll
GL0000517,2023-06-05,6200,Research and Development,Sales,CC100,Gonzalez-Perez,-17362.79,CR,SaaS Canada,
GL0000518,2023-06-24,6100,Sales and Marketing,Finance,,"Robinson, Stout and Lewis",20618.74,DR,saas us,
GL0000519,2023-06-04,1010,Cash,Engineering,,"Lopez, Garcia and Miles",-3561.16,CR,SaaS HoldCo,Google Ads
GL0000520,2023-06-03,6200,R&D,Finance,,Campos-Jones,3246.14,DR,SaaS US,Refund
GL0000521,2023-06-17,6200,R&D,Engineering,CC100,,19455.23,DR,saas us,
GL0000522,2023-06-19,5000,Cost of Service,Engineering,CC200,"Moore, Johnson and Ortega",20965.92,DR,SaaS HoldCo,Refund
GL0000523,2023-06-17,6100,S&M,Marketing,CC300,Oconnor LLC,7445.3,DR,SaaS HoldCo,Google Ads
GL0000524,2023-06-11,6200,R&D,Engineering,CC400,Ruiz PLC,17087.68,cr,SaaS HoldCo,Payroll
GL0000525,2023-06-20,5000,Cost of Service,Sales,CC300,Lawrence-Shannon,-7101.4,CR,saas us,Payroll
GL0000526,2023-06-05,6200,R&D,Marketing,,Bernard-Moore,14444.62,DR,saas us,Google Ads
GL0000527,2023-06-13,6300,General and Administrative,Engineering,,Nguyen-Miller,2650.74,DR,SaaS HoldCo,AWS hosting
GL0000528,2023-06-24,6200,Research and Development,Finance,CC400,Curtis LLC,-12271.09,cr,SaaS US,
GL0000529,2023-06-07,9999,Misc Expense,Engineering,,Wilkins Group,13365.23,DR,SaaS US,Payroll
GL0000530,2023-06-12,6200,R&D,Marketing,CC300,Owens Ltd,18623.76,dr,saas us,Google Ads
GL0000531,2023-06-23,6200,Research and Development,Finance,CC100,Jackson-Rodriguez,15922.23,DR,SaaS US,Payroll
GL0000532,2023-06-14,6100,S&M,Finance,CC200,"Lowery, Whitaker and Cochran",15991.25,DR,SaaS US,Reclass
GL0000533,2023-06-04,6300,G&A,Finance,CC100,Mitchell-Mcclain,-24108.08,CR,SaaS US,Reclass
GL0000534,2023-06-15,6200,Research and Development,Operations,CC200,"Clark, Parks and Hinton",-22350.43,cr,saas us,Software tools
GL0000535,2023-06-19,6300,General and Administrative,,CC200,"Mendoza, Wilson and Russell",-6380.58,CR,SaaS US,Software tools
GL0000536,2023-06-11,9999,Misc Expense,Marketing,CC400,Spencer-Gray,-20820.53,CR,SaaS Canada,Payroll
GL0000537,2023-06-06,6300,G&A,Marketing,CC100,"Parrish, Malone and Stewart",16000.54,dr,SaaS HoldCo,Google Ads
GL0000538,2023-06-12,6100,sales & marketing,Marketing,CC400,Hill-Harrell,14159.97,DR,saas us,Reclass
GL0000539,2023-06-07,9999,Misc Expense,Finance,CC200,"Wyatt, Moyer and Nelson",-17285.01,cr,SaaS HoldCo,Payroll
GL0000540,2023-06-07,6100,sales & marketing,,CC200,Hunter-Marshall,20571.33,DR,SaaS Canada,Software tools
GL0000541,2023-07-17,6100,sales & marketing,Finance,,Evans-James,17981.28,dr,saas us,Payroll
GL0000542,2023-07-26,6100,S&M,,CC100,"Herrera, Smith and Collins",-20263.13,CR,SaaS HoldCo,Reclass
GL0000543,2023-07-11,5000,Cost of Service,Sales,CC200,"Durham, Smith and Garner",20985.35,DR,SaaS Canada,Google Ads
GL0000544,2023-07-01,6100,S&M,Sales,CC400,Solomon PLC,-5962.76,CR,saas us,
GL0000545,2023-07-13,6300,G&A,,,"Morrison, Pineda and Clark",12782.36,DR,saas us,AWS hosting
GL0000546,2023-07-12,6300,G&A,Operations,,Hill-Harris,1576.9,cr,SaaS HoldCo,Payroll
GL0000547,2023-07-20,9999,Misc Expense,Finance,,"Rowe, Lee and Garcia",-14304.74,CR,SaaS HoldCo,Software tools
GL0000548,2023-07-13,5000,Cost of Service,Finance,,Carroll-Gutierrez,-11985.14,CR,saas us,Refund
GL0000549,2023-07-19,5000,Cost of Service,Marketing,CC100,French-Pennington,-13700.19,,SaaS Canada,AWS hosting
GL0000550,2023-07-24,6100,Sales and Marketing,Finance,CC300,Wade-Klein,9016.02,DR,SaaS US,Software tools
GL0000551,2023-07-26,6100,Sales and Marketing,Engineering,CC300,"Schwartz, Adams and Berry",1931.49,DR,SaaS US,AWS hosting
GL0000552,2023-07-03,6100,Sales and Marketing,Operations,,Ramos Ltd,10560.53,DR,SaaS HoldCo,Software tools
GL0000553,2023-07-11,6300,General and Administrative,,,"Randolph, Johnson and Anderson",-19930.52,CR,SaaS Canada,Reclass
GL0000554,2023-07-22,6300,G&A,Operations,,Maxwell PLC,-5975.5,cr,SaaS US,Refund
GL0000555,2023-07-16,6100,Sales and Marketing,Engineering,CC100,Jones Group,3694.71,DR,SaaS Canada,Refund
GL0000556,2023-07-08,6200,Research and Development,Operations,,Chaney LLC,14706.22,DR,saas us,Reclass
GL0000557,2023-07-18,6200,R&D,Sales,CC200,Hayden PLC,2671.56,DR,SaaS Canada,
GL0000558,2023-07-01,6100,Sales and Marketing,,,Bishop Ltd,20979.47,DR,saas us,Contractor costs
GL0000559,2023-07-06,5000,cost of service,Marketing,,Stanley Group,11212.82,DR,SaaS Canada,Reclass
GL0000560,2023-07-18,,Research and Development,Engineering,,Ward Ltd,23410.29,DR,saas us,Reclass
GL0000561,2023-07-26,,S&M,Sales,CC200,Griffin-Owen,4566.98,DR,saas us,Payroll
GL0000562,2023-07-01,5000,Cost of Service,Operations,CC100,"Lang, Lopez and West",-14135.03,CR,SaaS Canada,AWS hosting
GL0000563,2023-07-03,,Cost of Service,,CC400,Ellis Ltd,15929.43,DR,SaaS US,Software tools
GL0000564,2023-07-02,6200,R&D,Operations,CC300,"Estes, Washington and Williamson",-1737.45,CR,SaaS Canada,Google Ads
GL0000565,2023-07-11,5000,cost of service,Sales,CC300,,-3185.59,CR,SaaS HoldCo,Reclass
GL0000566,2023-07-17,6200,Research and Development,,CC100,Ramirez-Morton,10701.66,dr,SaaS US,Payroll
GL0000567,2023-07-03,6100,Sales and Marketing,,CC200,Molina-Lee,15546.14,DR,SaaS Canada,
GL0000568,2023-07-09,6200,R&D,Engineering,CC200,Morris-Reyes,13165.13,dr,SaaS US,Software tools
GL0000569,2023-07-15,6100,sales & marketing,,CC100,"Kerr, Ortiz and Duncan",19038.89,DR,SaaS US,
GL0000570,2023-07-07,6300,General and Administrative,Engineering,CC400,"Kramer, Thomas and Sparks",-21552.48,CR,SaaS HoldCo,AWS hosting
GL0000571,2023-07-23,1010,Cash,Finance,,Mccarthy-Carter,18985.2,DR,saas us,Google Ads
GL0000572,2023-07-10,6200,R&D,Marketing,CC400,"Gomez, Cline and Park",-18248.69,CR,SaaS US,Contractor costs
GL0000573,2023-07-17,6100,sales & marketing,Sales,CC400,"Rocha, Jordan and Powell",1882.93,dr,saas us,Software tools
GL0000574,2023-07-10,,Cash,Sales,,Jones-Sanchez,8088.91,DR,SaaS US,Refund
GL0000575,2023-07-18,6200,R&D,Engineering,,Diaz PLC,-10923.73,CR,SaaS Canada,Contractor costs
GL0000576,2023-07-14,9999,Misc Expense,,CC100,"Bowers, Shields and Liu",15994.72,DR,saas us,Google Ads
GL0000577,2023-07-05,5000,cost of service,Finance,,Hudson Inc,12782.2,DR,SaaS HoldCo,AWS hosting
GL0000578,2023-07-03,6100,Sales and Marketing,,CC100,Allen Inc,5796.65,DR,SaaS HoldCo,Refund
GL0000579,2023-07-15,6300,G&A,,CC400,Myers-Webb,-11554.44,CR,saas us,
GL0000580,2023-07-16,6100,Sales and Marketing,Sales,,"Bell, Sanchez and Bailey",7431.91,DR,SaaS HoldCo,AWS hosting
GL0000581,2023-07-02,6100,S&M,Finance,CC200,Lester Inc,5588.39,dr,SaaS HoldCo,Software tools
GL0000582,2023-07-14,1010,Cash,Sales,,Castillo-Robles,8789.54,DR,SaaS HoldCo,Refund
GL0000583,2023-07-06,5000,cost of service,Marketing,,Garcia Inc,6812.13,dr,saas us,Software tools
GL0000584,2023-07-27,5000,cost of service,Operations,CC400,Lopez-Watson,5557.17,dr,SaaS HoldCo,
GL0000585,2023-07-20,6200,Research and Development,Sales,,Carlson Ltd,4392.62,DR,SaaS US,Payroll
GL0000586,2023-07-03,6100,Sales and Marketing,Finance,CC200,"Arnold, Roth and Barnes",-19593.36,CR,saas us,Contractor costs
GL0000587,2023-07-06,9999,Misc Expense,Operations,,"Scott, Paul and Dorsey",4902.41,DR,saas us,Software tools
GL0000588,2023-07-01,5000,cost of service,,,Kelly-Barton,5288.63,DR,SaaS HoldCo,Software tools
GL0000589,2023-07-26,6100,S&M,Engineering,CC400,Duncan-Cameron,-7692.9,cr,saas us,
GL0000590,2023-07-24,6100,Sales and Marketing,Sales,CC200,Clark PLC,-18932.56,,saas us,Software tools
GL0000591,2023-07-20,6200,R&D,Marketing,CC200,Le and Sons,8708.3,DR,SaaS HoldCo,
GL0000592,2023-07-25,6100,S&M,Sales,CC400,"Johnson, Perez and Moore",2557.76,DR,SaaS US,
GL0000593,2023-07-15,6200,R&D,Marketing,,Henderson-Zuniga,11124.6,DR,SaaS US,AWS hosting
GL0000594,2023-07-20,6100,Sales and Marketing,,CC300,"Martin, Clay and Brown",1524.43,DR,saas us,Refund
GL0000595,2023-07-01,5000,cost of service,,CC400,Avila-Perry,-8948.23,,saas us,Reclass
GL0000596,2023-07-18,6100,sales & marketing,Engineering,,"Cobb, Sparks and Campbell",-7378.57,CR,SaaS HoldCo,Payroll
GL0000597,2023-07-14,1010,Cash,,CC400,Kidd-Thompson,23097.71,DR,saas us,AWS hosting
GL0000598,2023-07-05,5000,cost of service,Operations,CC200,Wall LLC,4360.62,DR,SaaS US,Contractor costs
GL0000599,2023-07-26,6100,Sales and Marketing,Finance,CC200,Allen-Fowler,23382.81,DR,saas us,Payroll
GL0000600,2023-07-09,5000,Cost of Service,Sales,CC100,Cook Inc,18555.69,,saas us,Software tools
GL0000601,2023-07-15,6300,G&A,Finance,,Nolan Inc,-12832.37,CR,SaaS Canada,Google Ads
GL0000602,2023-07-01,6200,Research and Development,Operations,CC200,Ochoa-Jennings,18134.63,dr,SaaS Canada,Reclass
GL0000603,2023-07-08,1010,Cash,Engineering,CC400,"Smith, Cross and Le",1311.44,dr,SaaS HoldCo,Payroll
GL0000604,2023-07-24,6100,S&M,Sales,CC300,Singh-Mason,-23623.51,CR,SaaS Canada,Software tools
GL0000605,2023-07-19,6100,Sales and Marketing,Finance,CC200,Williams PLC,22539.12,DR,SaaS Canada,Payroll
GL0000606,2023-07-18,6300,General and Administrative,Operations,,"Smith, Burns and Gonzalez",-24254.58,CR,SaaS Canada,Software tools
GL0000607,2023-07-13,6200,R&D,Finance,,Moore Inc,14416.26,DR,SaaS HoldCo,Reclass
GL0000608,2023-07-22,5000,Cost of Service,Marketing,CC300,Scott-Cannon,17989.41,DR,SaaS HoldCo,Contractor costs
GL0000609,2023-07-01,5000,cost of service,Finance,CC300,Ramsey LLC,19842.35,DR,SaaS US,AWS hosting
GL0000610,2023-07-03,6300,General and Administrative,,,"Morrow, Morrison and Marshall",18628.48,CR,saas us,
GL0000611,2023-07-06,5000,cost of service,Sales,CC400,Payne Inc,-1789.93,CR,SaaS US,Software tools
GL0000612,2023-07-09,1010,Cash,,CC200,Wood-Simmons,21975.99,dr,SaaS Canada,Payroll
GL0000613,2023-07-27,1010,Cash,,,Sanford-Williams,12724.33,dr,SaaS Canada,Software tools
GL0000614,2023-07-07,5000,Cost of Service,,CC100,"Smith, Johnson and Roberts",-2883.82,CR,SaaS Canada,AWS hosting
GL0000615,2023-07-18,5000,Cost of Service,Engineering,,"Gonzalez, Parsons and Powers",-14746.64,,SaaS HoldCo,Payroll
GL0000616,2023-07-13,6300,G&A,Sales,CC200,"Cortez, Gomez and Garner",-4050.86,CR,SaaS US,Contractor costs
GL0000617,2023-07-27,5000,Cost of Service,,CC300,Smith-Matthews,22049.13,DR,SaaS Canada,AWS hosting
GL0000618,2023-07-15,9999,Misc Expense,Finance,CC100,"Kirk, Bell and Riley",7067.91,DR,saas us,Contractor costs
GL0000619,2023-07-06,1010,Cash,Marketing,,Price Group,2434.4,DR,SaaS HoldCo,
GL0000620,2023-07-07,6300,General and Administrative,Engineering,CC300,Johnson-Smith,19836.09,DR,SaaS Canada,Contractor costs
GL0000621,2023-07-15,5000,Cost of Service,,CC200,Gomez-Johnson,5651.3,DR,saas us,Software tools
GL0000622,2023-07-02,6100,Sales and Marketing,Sales,CC400,"Warren, Gregory and Fleming",-19571.82,cr,SaaS US,Contractor costs
GL0000623,2023-07-11,6200,R&D,Sales,,Lin PLC,-13341.65,cr,SaaS US,Payroll
GL0000624,2023-07-08,6300,G&A,Finance,CC400,"Harmon, Rodriguez and Pena",16794.22,DR,saas us,Payroll
GL0000625,2023-07-22,6200,Research and Development,Finance,CC100,"Santana, Moore and Ramirez",5634.95,DR,saas us,Software tools
GL0000626,2023-07-17,6100,S&M,,,Taylor-Rios,14792.88,DR,SaaS US,
GL0000627,2023-07-10,6100,sales & marketing,Engineering,,"Nunez, Robinson and Greene",16377.6,dr,SaaS US,Reclass
GL0000628,2023-07-10,9999,Misc Expense,Operations,CC100,"Smith, Glover and Jimenez",7204.73,DR,SaaS US,Refund
GL0000629,2023-07-27,6300,G&A,Marketing,CC300,,14927.73,DR,SaaS HoldCo,Software tools
GL0000630,2023-07-01,6200,Research and Development,,,Peterson-Stewart,-18403.25,cr,SaaS HoldCo,Software tools
GL0000631,2023-08-13,6200,Research and Development,Marketing,CC300,Mejia Group,4062.46,DR,SaaS US,Google Ads
GL0000632,2023-08-17,1010,Cash,,CC200,"Gray, Smith and Robinson",16147.29,DR,SaaS Canada,Refund
GL0000633,2023-08-05,6200,Research and Development,,,Pearson-White,22101.98,DR,saas us,Refund
GL0000634,2023-08-12,6100,sales & marketing,Marketing,CC300,Hodge PLC,20569.81,DR,SaaS US,Refund
GL0000635,2023-08-08,6100,sales & marketing,Finance,,Barnett PLC,5238.96,DR,saas us,Google Ads
GL0000636,2023-08-16,6200,Research and Development,Marketing,,,-5883.88,CR,SaaS Canada,Refund
GL0000637,2023-08-04,5000,cost of service,Sales,CC100,"Martin, Brown and Murphy",21616.44,DR,SaaS Canada,Refund
GL0000638,2023-08-14,6200,R&D,Sales,,James-Bates,12118.16,DR,SaaS Canada,Reclass
GL0000639,2023-08-19,6200,R&D,Marketing,,Thomas-Jackson,4994.07,DR,SaaS US,Payroll
GL0000640,2023-08-10,6100,S&M,,CC300,Chandler Ltd,17194.26,DR,SaaS Canada,Contractor costs
GL0000641,2023-08-14,6300,G&A,,CC100,"Smith, Porter and Robinson",1503.86,DR,SaaS Canada,
GL0000642,2023-08-09,6200,Research and Development,Engineering,CC400,Bishop and Sons,22963.39,dr,SaaS US,Payroll
GL0000643,2023-08-10,5000,Cost of Service,Marketing,CC300,Diaz-Tran,-14742.81,cr,saas us,Contractor costs
GL0000644,2023-08-22,6300,General and Administrative,Marketing,,Santos Inc,1503.59,DR,SaaS HoldCo,Contractor costs
GL0000645,2023-08-06,6200,Research and Development,Sales,CC200,Patterson Inc,-1445.33,CR,saas us,
GL0000646,2023-08-25,9999,Misc Expense,Engineering,CC100,"Lawrence, Robertson and Banks",3752.55,DR,SaaS US,Payroll
GL0000647,2023-08-08,6200,R&D,Marketing,CC200,Gould-Moreno,-2469.08,CR,saas us,Google Ads
GL0000648,2023-08-05,5000,Cost of Service,Sales,,Whitney Group,17201.32,dr,SaaS US,Refund
GL0000649,2023-08-17,6100,sales & marketing,Sales,CC200,Weaver LLC,10461.81,DR,SaaS HoldCo,AWS hosting
GL0000650,2023-08-17,6100,sales & marketing,Finance,CC400,Boyle Inc,2624.2,DR,SaaS US,Reclass
GL0000651,2023-08-17,1010,Cash,Finance,,Hardy-Valdez,6896.92,DR,SaaS HoldCo,Payroll
GL0000652,2023-08-17,6100,S&M,Operations,CC100,Price-Taylor,8320.45,DR,SaaS HoldCo,
GL0000653,2023-08-25,5000,cost of service,Engineering,,Oconnor Group,2079.84,DR,saas us,Google Ads
GL0000654,2023-08-16,6100,S&M,Engineering,CC200,Smith LLC,18006.48,DR,SaaS HoldCo,Reclass
GL0000655,2023-08-02,6200,R&D,Operations,,Cox LLC,19252.77,dr,saas us,Reclass
GL0000656,2023-08-10,5000,Cost of Service,,CC300,Avila Inc,7533.25,DR,SaaS US,Contractor costs
GL0000657,2023-08-07,6100,S&M,,CC300,"Pham, Morris and Elliott",1577.61,DR,SaaS US,
GL0000658,2023-08-23,5000,cost of service,,,"Whitehead, Rodriguez and Martin",6942.82,DR,SaaS Canada,Google Ads
GL0000659,2023-08-02,9999,Misc Expense,Finance,CC400,"Solis, Jarvis and Mejia",-15996.09,CR,SaaS Canada,Reclass
GL0000660,2023-08-24,6100,sales & marketing,Finance,CC300,"Huerta, Malone and Reid",-12816.83,CR,SaaS Canada,Payroll
GL0000661,2023-08-20,6300,General and Administrative,Operations,,Cook and Sons,3037.04,DR,saas us,
GL0000662,2023-08-03,6200,R&D,Operations,CC200,Roach-Clark,21147.32,dr,saas us,AWS hosting
GL0000663,2023-08-14,1010,Cash,,CC300,Hampton-Mcintosh,21860.39,,SaaS HoldCo,Contractor costs
GL0000664,2023-08-19,6200,Research and Development,Finance,CC100,Keith Group,-23523.2,cr,SaaS Canada,Google Ads
GL0000665,2023-08-09,5000,Cost of Service,Finance,CC300,Moran LLC,9989.22,DR,SaaS HoldCo,Software tools
GL0000666,2023-08-24,9999,Misc Expense,Finance,,"Briggs, Taylor and Brown",9938.24,DR,SaaS HoldCo,
GL0000667,2023-08-27,5000,Cost of Service,Marketing,CC400,Jones and Sons,1852.08,,saas us,Payroll
GL0000668,2023-08-23,6100,sales & marketing,Operations,CC300,"Newton, Nunez and Simmons",-8739.31,CR,SaaS US,Refund
GL0000669,2023-08-27,5000,cost of service,Sales,,Christensen and Sons,12056.81,dr,SaaS HoldCo,AWS hosting
GL0000670,2023-08-07,5000,cost of service,Finance,,"Woods, Valenzuela and Green",24518.04,DR,saas us,AWS hosting
GL0000671,2023-08-07,6100,Sales and Marketing,Finance,,"Long, Perez and Leblanc",-10847.33,CR,SaaS Canada,Refund
GL0000672,2023-08-13,6300,General and Administrative,Finance,CC200,Avery-Velasquez,3746.1,dr,SaaS Canada,
GL0000673,2023-08-21,6300,General and Administrative,Sales,CC100,"Kline, Williams and Phillips",22531.13,DR,SaaS HoldCo,Software tools
GL0000674,2023-08-05,6200,Research and Development,Finance,CC100,"Park, Yang and Sheppard",17100.58,dr,SaaS HoldCo,Software tools
GL0000675,2023-08-15,6100,sales & marketing,,,Klein-Mejia,15156.21,DR,SaaS Canada,Software tools
GL0000676,2023-08-18,6300,G&A,Engineering,CC100,"Boyle, Jordan and Fuentes",-10054.86,CR,SaaS US,
GL0000677,2023-08-07,6100,S&M,Finance,CC200,"Barry, Tucker and Smith",2576.57,dr,saas us,Reclass
GL0000678,2023-08-19,6300,General and Administrative,Engineering,CC200,"Long, Evans and Cannon",-12269.85,CR,saas us,Google Ads
GL0000679,2023-08-09,1010,Cash,Engineering,CC400,"Christensen, Todd and Ramirez",16813.29,DR,saas us,AWS hosting
GL0000680,2023-08-19,5000,cost of service,Sales,,"Sosa, Snow and Watkins",17038.95,dr,saas us,Contractor costs
GL0000681,2023-08-12,6200,Research and Development,Engineering,CC300,Ramos-Munoz,-4496.63,CR,SaaS HoldCo,Reclass
GL0000682,2023-08-22,6300,G&A,Finance,CC100,"Woods, Nelson and Rowland",19832.22,DR,saas us,Contractor costs
GL0000683,2023-08-09,6100,sales & marketing,Operations,,Baker Ltd,4992.71,DR,SaaS Canada,Reclass
GL0000684,2023-08-27,5000,cost of service,Finance,CC100,Sosa Group,-3364.36,CR,SaaS Canada,Reclass
GL0000685,2023-08-11,5000,cost of service,,,Ibarra Ltd,21698.52,DR,SaaS HoldCo,Reclass
GL0000686,2023-08-20,6100,S&M,Marketing,CC200,"Sweeney, Wallace and Torres",14164.94,dr,SaaS HoldCo,Refund
GL0000687,2023-08-03,6100,S&M,Engineering,CC300,White Ltd,19549.15,DR,SaaS US,Payroll
GL0000688,2023-08-02,1010,Cash,Engineering,CC400,Ross Inc,-4289.79,CR,SaaS US,Contractor costs
GL0000689,2023-08-25,6200,Research and Development,,,"Miller, Hall and Frey",6342.04,DR,SaaS Canada,Reclass
GL0000690,2023-08-24,5000,Cost of Service,Finance,CC300,Anderson-Thompson,23982.5,DR,SaaS Canada,Contractor costs
GL0000691,2023-08-04,6300,G&A,,CC200,"Martin, White and Wright",-13830.7,cr,SaaS HoldCo,Payroll
GL0000692,2023-08-25,6300,General and Administrative,Engineering,CC200,Le Ltd,11007.73,dr,SaaS US,Contractor costs
GL0000693,2023-08-02,5000,Cost of Service,Sales,CC100,Shaw-Jordan,-18690.98,cr,saas us,Google Ads
GL0000694,2023-08-11,5000,Cost of Service,,CC200,"Best, Wu and Parker",18863.32,DR,SaaS Canada,Contractor costs
GL0000695,2023-08-27,6300,General and Administrative,Operations,,Curtis-Parsons,12236.41,dr,SaaS US,Software tools
GL0000696,2023-08-13,6200,Research and Development,Marketing,,West Ltd,7395.21,DR,saas us,Google Ads
GL0000697,2023-08-20,6300,G&A,Operations,CC100,"Green, Adams and Rhodes",4073.88,DR,SaaS Canada,Google Ads
GL0000698,2023-08-17,6300,G&A,Marketing,CC400,Oliver LLC,18178.9,DR,SaaS US,Reclass
GL0000699,2023-08-07,1010,Cash,Sales,,Chapman-Cross,6260.8,dr,SaaS Canada,Payroll
GL0000700,2023-08-19,6100,S&M,Engineering,,Jackson LLC,1250.25,DR,SaaS HoldCo,Contractor costs
GL0000701,2023-08-10,6200,Research and Development,,CC400,"Vasquez, Williams and Williams",15478.78,DR,saas us,AWS hosting
GL0000702,2023-08-16,9999,Misc Expense,Engineering,CC400,"Nelson, Greene and Cohen",2329.1,DR,SaaS US,Software tools
GL0000703,2023-08-05,6300,G&A,,,Morris PLC,-24612.14,cr,SaaS Canada,Refund
GL0000704,2023-08-19,6300,General and Administrative,Marketing,CC400,Smith Group,22236.61,DR,SaaS HoldCo,Contractor costs
GL0000705,2023-08-21,5000,cost of service,,CC100,Scott and Sons,20078.31,DR,saas us,Payroll
GL0000706,2023-08-02,9999,Misc Expense,Sales,CC400,"Carroll, Reynolds and Shaw",7484.91,dr,SaaS US,Reclass
GL0000707,2023-08-06,6100,S&M,Operations,,"Ramirez, Johnson and Carr",-8603.32,cr,SaaS HoldCo,Software tools
GL0000708,2023-08-10,6100,Sales and Marketing,Finance,CC400,Mcdaniel Inc,-6408.7,CR,SaaS HoldCo,
GL0000709,2023-08-04,6100,Sales and Marketing,Marketing,CC100,Church Inc,9975.98,dr,saas us,Google Ads
GL0000710,2023-08-25,6200,Research and Development,Engineering,,Johnson Ltd,16228.45,dr,saas us,Google Ads
GL0000711,2023-08-03,,R&D,Operations,CC200,Webb Inc,-24776.69,cr,SaaS HoldCo,
GL0000712,2023-08-13,6300,General and Administrative,,,Carter Inc,-11889.97,cr,SaaS HoldCo,Payroll
GL0000713,2023-08-07,6300,General and Administrative,Finance,,West PLC,3780.03,DR,SaaS HoldCo,Reclass
GL0000714,2023-08-04,5000,Cost of Service,Sales,,"Brown, Murphy and Crosby",-10715.97,,saas us,Software tools
GL0000715,2023-08-13,6100,sales & marketing,Sales,CC100,"Moore, Warner and Hudson",-10007.15,CR,saas us,Google Ads
GL0000716,2023-08-21,6100,sales & marketing,Engineering,,Washington LLC,21277.36,dr,SaaS Canada,Refund
GL0000717,2023-08-23,5000,Cost of Service,Engineering,CC300,"Phillips, Greene and Marsh",11936.41,DR,SaaS Canada,Payroll
GL0000718,2023-08-02,6200,R&D,Operations,,Holt Inc,-24115.78,CR,saas us,Contractor costs
GL0000719,2023-08-14,1010,Cash,Sales,CC100,"Morton, Lucas and Garcia",-22167.1,cr,SaaS Canada,Payroll
GL0000720,2023-08-16,6300,G&A,Finance,,"Ryan, Austin and Smith",-17360.36,cr,saas us,Google Ads
GL0000721,2023-09-07,6200,R&D,Operations,,Hernandez and Sons,18990.91,dr,SaaS HoldCo,Reclass
GL0000722,2023-09-13,6200,Research and Development,Sales,CC200,Raymond Inc,-7669.47,CR,SaaS Canada,AWS hosting
GL0000723,2023-09-24,6200,R&D,Engineering,CC400,Hines-Massey,16397.68,DR,saas us,Contractor costs
GL0000724,2023-09-03,6100,Sales and Marketing,Sales,,,6675.62,DR,SaaS US,Software tools
GL0000725,2023-09-04,6200,R&D,Operations,CC100,,-9017.89,CR,SaaS US,Reclass
GL0000726,2023-09-15,5000,Cost of Service,Operations,,Foster-Dougherty,-13736.52,cr,saas us,Software tools
GL0000727,2023-09-04,9999,Misc Expense,,CC300,Martinez-Stewart,-23759.84,CR,SaaS HoldCo,Software tools
GL0000728,2023-09-15,6100,Sales and Marketing,Engineering,CC100,Patton-Rhodes,21097.31,dr,SaaS Canada,Refund
GL0000729,2023-09-14,1010,Cash,Marketing,CC200,"Jimenez, Becker and Mcdonald",8440.62,dr,saas us,Google Ads
GL0000730,2023-09-08,1010,Cash,,CC100,"Stewart, Cochran and Moore",18993.91,cr,saas us,Refund
GL0000731,2023-09-04,6100,Sales and Marketing,,CC300,"Jimenez, Nelson and Aguilar",19645.14,dr,saas us,Google Ads
GL0000732,2023-09-16,1010,Cash,Marketing,CC100,"Berg, Collins and Frazier",-10634.52,CR,SaaS Canada,Google Ads
GL0000733,2023-09-17,6100,S&M,Engineering,,Jennings-Farrell,22341.41,DR,SaaS US,
GL0000734,2023-09-19,6200,R&D,,,"Norton, Medina and Robles",20147.54,DR,SaaS HoldCo,Software tools
GL0000735,2023-09-24,,sales & marketing,Engineering,CC400,Jackson-Byrd,4401.16,DR,SaaS Canada,Refund
GL0000736,2023-09-27,6200,R&D,Sales,CC200,Snyder Ltd,-10547.57,cr,SaaS Canada,Software tools
GL0000737,2023-09-25,6100,S&M,,,Lee Group,13858.24,DR,SaaS US,Payroll
GL0000738,2023-09-19,5000,cost of service,,,Owens-Booth,24217.26,dr,SaaS HoldCo,Reclass
GL0000739,2023-09-17,6300,General and Administrative,Sales,CC300,George Ltd,-20172.41,,SaaS Canada,Refund
GL0000740,2023-09-20,6300,G&A,Finance,CC400,Hansen PLC,-21340.77,cr,SaaS Canada,
GL0000741,2023-09-20,6200,Research and Development,Finance,CC400,Houston-Johnson,22993.91,DR,SaaS US,Reclass
